record_date,monthly_expenses_usd,monthly_income_usd,savings_usd,monthly_emi_usd,debt_to_income_ratio,credit_score
2024-04-17,3236.98,5435.08,218792.9,0.0,0.0,410
2021-09-11,2800.87,5120.45,538000.21,0.0,0.0,360
2025-04-14,768.52,2175.74,33792.6,0.0,0.0,645
2025-05-26,4812.56,7928.51,157372.59,11931.17,1.5,552
2022-05-04,2230.97,3605.56,312952.9,2312.37,0.64,662
2021-12-26,1569.03,2457.83,248428.48,5405.96,2.2,324
2024-05-24,3359.87,5152.35,462465.71,0.0,0.0,724
2024-06-30,434.32,1202.86,23286.97,9661.11,8.03,542
2022-08-18,1554.08,5125.94,599929.66,0.0,0.0,740
2023-03-06,1594.1,2870.89,176571.54,5875.96,2.05,438
2022-08-17,674.67,1995.91,237128.63,434.49,0.22,849
2024-12-16,4092.62,4742.29,107794.57,7642.18,1.61,528
2023-12-13,1367.31,2792.03,198487.74,0.0,0.0,594
2023-01-20,2205.01,3521.64,383467.46,0.0,0.0,497
2025-03-19,3501.08,5646.21,606371.55,0.0,0.0,849
2022-05-21,5798.56,7019.54,293692.72,0.0,0.0,458
2024-03-10,2843.12,4804.07,239165.22,0.0,0.0,710
2023-06-25,288.6,500.0,56868.63,3567.2,7.13,759
2023-07-19,4515.3,6992.09,512364.61,0.0,0.0,328
2021-07-30,2692.03,4111.45,199822.72,444.01,0.11,543
2024-02-04,5266.76,6188.38,439026.61,1116.02,0.18,479
2024-12-23,1723.15,1965.62,37073.82,0.0,0.0,775
2025-05-30,2798.91,5033.34,484278.3,1525.39,0.3,670
2023-11-15,2708.28,3314.62,376535.92,21557.52,6.5,386
2022-06-20,1473.3,3257.12,79793.7,0.0,0.0,627
2021-11-20,2580.95,3519.35,361988.87,0.0,0.0,751
2025-04-29,1000.46,3250.36,36918.93,2274.23,0.7,381
2024-07-15,2667.7,3341.34,141034.04,0.0,0.0,525
2022-11-03,3125.32,3806.35,224981.27,0.0,0.0,427
2024-07-23,2206.07,2754.29,325411.04,0.0,0.0,408
2021-11-08,1894.6,3163.71,29044.24,0.0,0.0,677
2023-07-05,1486.74,2186.84,131034.87,0.0,0.0,700
2023-07-04,4225.81,5688.88,62785.22,0.0,0.0,328
2023-08-26,2734.06,5082.0,582120.37,2724.3,0.54,766
2024-08-24,2875.19,4265.87,245455.57,6698.74,1.57,341
2022-06-16,2708.77,5243.62,63342.67,0.0,0.0,316
2024-09-14,587.39,859.55,78540.06,0.0,0.0,499
2021-11-07,186.16,500.0,44022.81,9979.87,19.96,522
2025-03-29,1507.18,3441.0,53415.83,3287.4,0.96,338
2021-09-27,4228.94,5426.8,649884.11,755.47,0.14,571
2025-04-08,3040.02,4094.03,121047.06,6954.1,1.7,592
2024-02-05,1829.04,2093.08,200938.05,4694.32,2.24,643
2024-05-18,2986.24,3449.75,270384.58,0.0,0.0,792
2022-09-13,3346.72,4937.13,132805.31,0.0,0.0,319
2023-10-10,1968.11,5016.38,492212.1,5948.51,1.19,656
2021-08-15,3317.24,3861.95,341949.66,3408.99,0.88,475
2022-10-19,3243.82,3624.84,30840.95,0.0,0.0,617
2025-03-31,3113.95,4480.05,458081.12,0.0,0.0,662
2025-07-16,3822.53,4611.11,532141.72,0.0,0.0,330
2024-12-18,2923.58,4836.51,9472.99,2746.73,0.57,522
2021-08-15,2999.36,4800.82,554991.36,995.07,0.21,495
2022-02-06,1182.35,3532.02,35580.5,0.0,0.0,569
2024-02-05,2611.02,7693.61,760095.88,5086.74,0.66,729
2024-02-18,2343.4,2914.79,271108.54,13323.69,4.57,739
2024-01-16,4350.5,5754.2,309260.01,20376.93,3.54,823
2021-10-10,3572.9,4685.45,475855.46,0.0,0.0,686
2024-06-03,1477.68,4913.51,355154.79,0.0,0.0,820
2024-09-27,2043.0,3095.39,110968.23,0.0,0.0,401
2022-09-21,321.27,500.0,1691.04,0.0,0.0,391
2024-03-13,2113.21,6046.28,599502.38,580.0,0.1,421
2023-03-27,3504.38,4183.17,300600.36,0.0,0.0,522
2025-05-11,2122.91,6099.11,655680.06,0.0,0.0,613
2021-10-29,984.94,2929.53,89514.32,12976.42,4.43,655
2025-01-10,2986.97,5011.98,54557.14,0.0,0.0,744
2023-03-15,277.65,500.0,21148.54,13678.18,27.36,719
2025-07-05,1179.18,2223.58,125718.01,0.0,0.0,819
2025-05-05,520.51,1273.92,130832.79,0.0,0.0,617
2021-10-15,2887.5,3275.12,104365.8,0.0,0.0,748
2021-09-18,995.15,1760.66,71323.73,0.0,0.0,660
2024-04-13,3329.82,5694.16,577885.77,0.0,0.0,455
2024-09-30,2133.41,6445.0,497762.51,5135.59,0.8,505
2023-07-31,558.52,911.07,38180.42,0.0,0.0,450
2023-09-21,2067.88,5006.86,440716.54,4636.79,0.93,492
2021-10-31,1746.18,4746.79,454299.28,0.0,0.0,300
2023-03-25,4510.86,5014.03,34735.15,0.0,0.0,388
2025-03-22,441.65,630.43,61260.21,0.0,0.0,578
2022-03-19,1059.94,2132.56,162221.28,0.0,0.0,442
2023-08-25,2213.65,3393.94,71989.52,0.0,0.0,302
2023-07-15,2075.81,3930.59,190948.64,0.0,0.0,599
2023-12-08,2461.46,5517.86,614312.76,7276.43,1.32,672
2024-10-20,3333.19,4562.38,222227.77,0.0,0.0,389
2025-03-12,2424.84,5897.88,650117.39,0.0,0.0,684
2021-08-10,1629.83,2675.77,191885.84,0.0,0.0,309
2025-03-25,4977.48,6139.7,497102.35,0.0,0.0,738
2022-09-07,1350.58,2174.1,48698.49,3493.33,1.61,808
2023-12-18,367.36,500.0,1539.77,876.45,1.75,466
2022-10-24,247.01,500.0,14063.39,11404.13,22.81,727
2022-07-18,1452.57,3506.98,26014.28,13550.6,3.86,415
2021-11-04,574.22,923.93,11720.2,0.0,0.0,311
2025-02-05,1625.65,1815.37,202100.99,0.0,0.0,585
2023-11-25,2239.48,3367.18,206786.62,1666.67,0.49,660
2023-06-03,3614.62,4386.66,89565.02,0.0,0.0,442
2022-04-28,3009.67,3807.45,176734.39,0.0,0.0,761
2022-11-29,2575.37,5073.02,594063.28,0.0,0.0,836
2023-02-13,1462.28,2203.06,202812.39,4269.12,1.94,416
2022-10-22,1452.04,2121.33,56990.24,0.0,0.0,359
2024-01-30,2192.8,3711.82,337053.01,0.0,0.0,762
2022-04-24,3419.27,5097.06,389532.25,6199.42,1.22,719
2024-03-02,1122.08,2155.13,108615.57,0.0,0.0,809
2022-07-04,1809.9,4217.69,11134.48,2561.89,0.61,463
2021-11-02,686.66,1762.74,28752.64,0.0,0.0,526
2024-07-11,3535.5,6284.65,197682.85,0.0,0.0,531
2022-11-10,766.96,1758.36,187897.72,0.0,0.0,472
2023-07-09,1535.68,4473.92,43241.78,2785.62,0.62,665
2024-01-01,1249.94,3090.36,39832.9,0.0,0.0,651
2025-02-27,2759.2,5214.26,133670.93,2232.72,0.43,677
2022-06-16,3917.83,6622.32,731973.67,0.0,0.0,587
2022-08-14,2219.64,3522.93,166888.07,2441.67,0.69,734
2023-09-05,1111.24,2441.97,160752.86,0.0,0.0,601
2022-09-02,2721.08,7459.78,616277.82,3324.03,0.45,343
2023-08-01,2939.7,4600.38,382013.59,0.0,0.0,666
2021-12-01,2370.23,5078.26,123105.75,0.0,0.0,790
2021-12-16,2403.59,4683.26,441699.16,0.0,0.0,533
2024-07-24,5034.59,6252.73,356867.71,0.0,0.0,431
2024-09-26,3885.54,5568.07,7925.2,6274.4,1.13,319
2021-09-13,2078.72,3511.6,254257.51,0.0,0.0,487
2023-07-20,1798.02,4221.64,418894.44,0.0,0.0,649
2025-02-16,2420.87,4379.7,336264.04,0.0,0.0,698
2024-07-04,2666.13,5153.52,210984.81,3218.75,0.62,725
2024-09-10,2132.52,3615.78,61675.88,15624.11,4.32,612
2024-02-04,5091.34,6781.0,537368.97,0.0,0.0,707
2022-08-07,2155.17,3866.94,392730.24,1324.82,0.34,549
2025-03-14,3320.63,4490.56,297905.93,4263.64,0.95,612
2023-12-25,1268.14,1460.62,169609.99,1790.89,1.23,626
2025-07-21,1436.16,1853.06,123046.95,0.0,0.0,793
2025-01-16,1697.66,3103.24,243714.96,0.0,0.0,643
2025-04-21,6602.73,8020.02,528743.19,0.0,0.0,513
2021-10-12,4548.38,7165.19,478911.39,40730.07,5.68,526
2022-06-19,1986.55,4759.74,111295.7,8517.36,1.79,371
2023-08-02,1030.45,1542.4,68384.41,0.0,0.0,339
2023-05-13,2496.84,4425.49,328802.42,1452.94,0.33,408
2024-01-19,1700.73,4779.77,22409.77,0.0,0.0,681
2023-07-12,899.73,2455.26,224505.02,0.0,0.0,749
2021-12-04,2363.75,2803.26,249694.64,6441.3,2.3,588
2022-10-31,2914.87,7282.09,575631.38,0.0,0.0,490
2024-04-28,4136.5,5027.82,463607.72,0.0,0.0,506
2021-08-20,2477.02,4359.16,243635.9,0.0,0.0,846
2022-11-11,2182.84,4663.96,481185.38,16369.55,3.51,472
2024-10-31,1568.05,4381.0,131153.94,1967.16,0.45,633
2024-01-07,2944.73,3791.1,20164.21,0.0,0.0,793
2025-07-09,2171.87,3662.36,325301.11,0.0,0.0,623
2025-03-17,280.38,500.0,46568.45,0.0,0.0,325
2024-11-17,1893.52,2624.13,77168.04,0.0,0.0,839
2021-12-28,4201.06,6958.16,532518.83,18.46,0.0,766
2024-03-02,3038.57,5222.29,283879.59,0.0,0.0,348
2023-06-24,591.12,1098.58,7111.4,930.11,0.85,482
2025-05-05,1797.45,3366.49,295939.4,0.0,0.0,408
2024-02-16,3054.1,4289.74,63493.01,3727.34,0.87,711
2025-07-09,1517.11,2770.45,215973.83,0.0,0.0,565
2023-07-29,4117.68,6662.96,664212.54,0.0,0.0,557
2023-06-10,2064.74,5523.61,373212.19,8988.4,1.63,737
2025-01-17,2702.03,3468.46,343043.8,0.0,0.0,340
2023-01-29,4226.45,6866.84,425659.95,1421.39,0.21,447
2021-08-18,4176.73,6444.25,436217.64,907.68,0.14,643
2023-09-13,3611.72,4222.34,212810.36,5171.17,1.22,784
2024-05-06,1421.8,4028.65,295288.07,3061.36,0.76,464
2023-02-28,2433.32,4312.38,160063.43,1295.7,0.3,832
2024-02-07,2274.6,2956.2,261528.68,8992.59,3.04,819
2024-07-15,3382.85,5129.63,221554.55,0.0,0.0,545
2022-09-10,3332.9,3750.76,219902.57,0.0,0.0,527
2021-08-17,856.14,1654.82,144656.28,0.0,0.0,381
2022-08-23,2928.88,3605.32,192419.53,0.0,0.0,446
2023-09-03,2167.1,3697.45,306523.7,0.0,0.0,619
2021-09-28,2550.77,3752.54,35276.54,7601.15,2.03,846
2022-03-22,1789.03,3287.06,29721.5,13622.21,4.14,382
2021-09-08,344.9,784.88,27143.77,0.0,0.0,326
2021-09-18,792.35,2474.55,66065.08,0.0,0.0,580
2022-09-02,1967.3,4419.32,380139.18,0.0,0.0,707
2023-04-15,1147.25,3016.73,229245.7,850.88,0.28,453
2023-09-24,824.51,2283.1,100446.79,12543.83,5.49,440
2021-08-19,4452.16,6251.18,374227.57,2367.4,0.38,322
2022-04-19,2212.51,4795.4,276590.54,0.0,0.0,592
2025-03-07,2527.07,4315.5,62074.71,0.0,0.0,526
2022-09-16,2226.76,3206.68,183765.46,0.0,0.0,399
2025-07-02,1864.05,4965.05,440732.94,0.0,0.0,448
2024-09-25,4618.46,6004.17,395099.13,205.02,0.03,697
2024-03-21,2315.85,5034.39,439567.45,0.0,0.0,677
2024-01-11,1830.47,4876.95,15671.51,0.0,0.0,720
2024-09-06,2778.49,4039.23,472324.53,0.0,0.0,756
2023-09-07,3061.07,4624.14,265610.72,708.66,0.15,733
2023-02-07,1653.22,4299.86,323103.26,0.0,0.0,600
2022-12-20,2502.91,5277.04,300973.9,0.0,0.0,788
2022-04-11,1342.05,3526.46,405551.98,0.0,0.0,314
2024-04-26,796.51,1384.85,93936.99,0.0,0.0,819
2024-06-01,3560.44,4383.32,131266.77,0.0,0.0,571
2025-04-11,3036.0,3564.92,78856.54,14512.38,4.07,424
2022-04-04,547.46,1022.0,104940.56,0.0,0.0,794
2023-08-05,3695.36,4612.03,435325.81,1458.16,0.32,621
2023-01-25,2891.74,6109.33,296076.41,0.0,0.0,798
2023-12-22,3913.17,4495.02,313582.32,12733.59,2.83,381
2023-09-21,1361.26,4300.81,434253.47,0.0,0.0,492
2024-03-31,2773.37,4983.59,199189.14,0.0,0.0,408
2022-05-30,5611.32,7404.11,732944.0,0.0,0.0,408
2024-02-02,983.71,1188.49,66375.13,11482.75,9.66,835
2023-06-29,1013.19,2137.46,238976.54,6066.75,2.84,625
2024-03-22,3993.01,5358.75,546554.64,0.0,0.0,605
2024-03-28,925.18,1702.41,46635.86,0.0,0.0,609
2021-12-21,4214.46,4836.8,30180.51,3003.27,0.62,401
2025-06-28,2690.09,6803.2,153801.68,3401.47,0.5,808
2025-07-05,3592.09,4879.0,331646.36,0.0,0.0,364
2022-07-12,2949.08,5557.87,23304.02,0.0,0.0,787
2024-01-03,2880.43,4612.82,240955.26,18014.88,3.91,757
2025-03-21,5407.31,7684.96,736570.75,25077.7,3.26,478
2022-12-20,1306.03,1941.26,79368.68,0.0,0.0,368
2022-05-21,444.41,1294.66,33145.48,6316.65,4.88,514
2023-07-08,1185.4,1343.37,19694.42,0.0,0.0,381
2023-07-16,1758.37,4154.95,243418.23,6776.47,1.63,738
2023-09-23,5062.77,7346.9,242207.9,3450.39,0.47,625
2024-11-28,2428.8,6680.92,130903.54,0.0,0.0,547
2022-05-16,3575.32,4139.1,113384.28,0.0,0.0,345
2023-11-14,4060.44,5445.18,218095.27,0.0,0.0,640
2024-06-21,5119.03,7499.17,224616.81,0.0,0.0,338
2023-09-19,2898.88,6762.91,225690.42,9306.97,1.38,613
2024-05-18,4297.59,4999.37,329245.37,4967.25,0.99,793
2022-10-25,4049.71,4944.0,543506.54,0.0,0.0,486
2022-04-23,6881.25,7985.03,70299.84,0.0,0.0,811
2025-01-24,781.91,2466.69,64507.61,9866.97,4.0,337
2024-11-19,3037.34,4271.44,61164.05,6993.75,1.64,576
2024-02-08,3774.26,4329.82,173266.47,12100.37,2.79,436
2022-09-24,3257.94,4349.64,232176.04,0.0,0.0,584
2024-11-15,2414.74,4329.31,386115.51,0.0,0.0,784
2023-06-03,937.38,2580.84,71273.83,0.0,0.0,839
2024-02-20,640.25,1482.99,170887.46,0.0,0.0,808
2023-09-15,1358.2,2263.41,113488.78,0.0,0.0,392
2023-10-20,3625.76,5069.26,130293.93,32904.64,6.49,492
2025-05-27,4519.38,5452.01,480215.24,0.0,0.0,392
2024-12-31,1311.37,2118.71,131052.26,0.0,0.0,728
2023-07-07,717.34,2205.91,128243.0,12959.8,5.88,381
2024-03-09,1146.67,2653.91,113698.39,8511.06,3.21,421
2021-11-12,2462.12,6892.39,93164.54,6682.0,0.97,779
2022-08-02,852.49,1222.22,51845.55,7485.09,6.12,789
2021-09-02,2771.15,6738.78,488243.7,0.0,0.0,599
2022-06-05,396.55,500.0,39774.94,0.0,0.0,683
2024-08-26,1296.86,1973.37,64408.12,0.0,0.0,506
2023-11-07,4044.77,5402.37,103143.36,1756.76,0.33,816
2024-08-05,4795.02,5341.48,530192.0,0.0,0.0,630
2025-01-04,3069.07,3415.48,102087.95,4688.33,1.37,798
2022-03-12,735.08,1936.53,120030.63,4828.62,2.49,638
2025-02-27,2723.1,6226.72,448983.89,0.0,0.0,839
2025-05-01,3255.2,5403.7,615832.9,0.0,0.0,454
2023-03-26,2671.34,3876.09,131415.88,35228.09,9.09,705
2022-09-30,3632.14,5046.16,508515.73,0.0,0.0,521
2022-05-03,5331.22,6661.73,516538.69,4751.91,0.71,307
2024-11-18,1990.26,4663.89,483757.44,0.0,0.0,454
2025-02-03,2405.82,5598.36,466432.75,0.0,0.0,563
2024-10-06,2640.54,5459.82,364513.98,0.0,0.0,370
2023-08-24,2607.42,4630.68,297057.63,0.0,0.0,595
2021-11-14,1661.18,3236.95,263068.58,1699.46,0.53,465
2023-01-10,1667.19,2839.71,266734.12,2099.69,0.74,546
2024-12-08,5873.23,7665.11,794333.15,6046.19,0.79,339
2021-10-22,4519.18,5628.3,248403.72,0.0,0.0,317
2025-04-26,2929.63,4523.9,268572.12,0.0,0.0,431
2023-10-01,1210.93,1489.78,31043.9,0.0,0.0,536
2022-06-07,2932.54,6492.53,731972.51,0.0,0.0,375
2025-05-29,1298.68,2875.82,181132.94,0.0,0.0,682
2023-08-14,1567.08,2725.38,116986.56,1220.92,0.45,614
2021-12-08,3547.42,4916.77,365277.34,0.0,0.0,810
2021-10-28,1698.55,2801.27,208070.89,0.0,0.0,663
2021-12-31,1430.24,1779.99,36113.74,10256.71,5.76,371
2023-07-02,2056.06,4650.03,379787.96,0.0,0.0,706
2022-04-23,1459.54,3107.51,158257.95,11309.08,3.64,572
2022-03-16,1041.83,2221.52,256912.58,7176.76,3.23,793
2023-02-12,5290.09,5910.6,386973.75,0.0,0.0,771
2022-05-18,1593.63,1809.2,98184.72,0.0,0.0,549
2023-08-01,2190.64,4596.78,68206.45,0.0,0.0,412
2022-05-09,2472.4,3459.68,115795.57,7473.59,2.16,732
2022-01-23,3840.72,5187.85,395884.27,0.0,0.0,369
2025-06-24,4258.89,7792.82,528328.89,0.0,0.0,802
2023-09-06,1903.77,4439.57,40788.2,0.0,0.0,748
2024-04-29,3693.8,4668.35,551088.37,4230.94,0.91,546
2025-06-07,1666.59,3689.48,257609.28,5447.4,1.48,507
2021-09-24,545.12,1420.47,98985.35,0.0,0.0,568
2024-05-08,1568.49,4533.97,232077.74,0.0,0.0,304
2022-11-21,2539.93,7446.93,378444.34,11611.28,1.56,421
2022-02-11,1816.96,4998.17,216729.87,0.0,0.0,427
2023-08-22,1324.39,1600.28,107821.13,4778.19,2.99,803
2025-01-14,2113.42,3415.49,278976.0,0.0,0.0,470
2025-07-11,2244.2,4005.62,123537.19,0.0,0.0,756
2022-05-01,5705.25,7157.57,614735.8,0.0,0.0,751
2023-12-10,2880.47,3740.97,122675.01,0.0,0.0,814
2022-02-08,2161.18,5159.71,46459.18,0.0,0.0,368
2022-08-03,3791.35,5308.21,221122.65,0.0,0.0,324
2022-05-11,4592.74,5733.98,670836.91,7721.69,1.35,353
2021-11-22,1174.42,2617.25,220081.14,21290.25,8.13,582
2024-04-15,2653.21,6090.27,598648.39,0.0,0.0,474
2024-11-28,250.32,500.0,24037.6,0.0,0.0,760
2022-05-22,2406.38,3250.36,137721.59,0.0,0.0,523
2022-12-27,2302.45,5050.38,537698.96,0.0,0.0,849
2023-10-17,928.06,1724.39,34091.98,0.0,0.0,577
2024-04-04,3916.6,6481.76,498983.66,0.0,0.0,587
2023-04-25,2232.98,2594.5,215508.54,0.0,0.0,640
2023-02-05,822.25,1189.5,111781.14,0.0,0.0,407
2024-01-03,1942.99,3928.42,320426.56,0.0,0.0,615
2023-03-10,4369.96,6320.99,196129.68,0.0,0.0,536
2024-12-26,1253.73,1462.39,59428.92,0.0,0.0,500
2023-10-01,2787.61,6886.58,250373.5,0.0,0.0,377
2023-12-28,300.08,500.0,4722.01,3539.07,7.08,631
2022-06-17,654.62,815.71,60526.42,0.0,0.0,779
2023-11-28,1780.53,5748.35,504583.45,3100.27,0.54,826
2022-12-15,624.82,1303.69,139592.04,5525.19,4.24,489
2022-09-13,3100.41,5845.13,469671.52,0.0,0.0,371
2025-04-30,5634.91,6837.06,816848.07,0.0,0.0,492
2024-05-12,244.57,500.0,8512.67,0.0,0.0,774
2023-05-29,5051.31,7522.38,175819.27,3460.58,0.46,342
2024-05-05,2604.94,3999.37,262019.85,15222.72,3.81,738
2022-10-23,879.99,1815.67,134541.48,0.0,0.0,531
2023-05-07,2346.96,5669.5,479449.81,0.0,0.0,720
2024-09-01,3465.89,6447.42,586992.14,0.0,0.0,822
2024-08-20,869.23,1650.32,14143.19,3149.54,1.91,572
2023-10-16,4036.59,7026.69,339792.59,0.0,0.0,516
2024-09-03,4603.15,6963.03,489572.82,0.0,0.0,812
2022-05-13,6856.91,8330.11,580986.98,2810.75,0.34,582
2021-10-28,4266.66,6381.1,404633.3,6014.91,0.94,577
2022-06-30,2563.91,5191.58,615434.01,7438.61,1.43,318
2024-12-10,765.41,1965.19,185843.94,0.0,0.0,722
2024-03-02,4219.64,7983.11,61329.21,0.0,0.0,721
2023-05-14,1071.43,2335.88,142538.62,5950.11,2.55,802
2023-09-12,2550.01,6205.86,51377.99,0.0,0.0,352
2024-07-31,3232.28,7870.64,198596.09,2948.23,0.37,446
2021-09-25,6111.4,7391.45,498740.99,0.0,0.0,626
2024-05-20,3725.56,7794.58,80828.85,2780.54,0.36,470
2025-01-19,691.7,2075.62,84146.06,0.0,0.0,436
2023-04-25,4407.71,5004.89,332944.62,0.0,0.0,786
2023-06-25,2938.73,5023.0,556474.02,6372.55,1.27,334
2025-05-19,5339.46,7870.31,701042.58,0.0,0.0,739
2023-07-04,3992.31,4869.54,40332.15,0.0,0.0,426
2023-06-25,1661.04,4950.86,378131.59,0.0,0.0,535
2024-02-25,4429.5,6148.37,437613.84,0.0,0.0,762
2021-12-25,739.43,2165.3,215462.18,10753.77,4.97,646
2023-01-26,1766.72,3203.72,231938.93,0.0,0.0,836
2023-07-26,872.74,2776.16,196212.17,0.0,0.0,802
2022-09-05,4322.82,5158.84,126493.53,3358.24,0.65,520
2023-12-30,248.23,500.0,10378.46,6007.59,12.02,344
2021-12-06,1409.14,2608.61,254729.97,4090.03,1.57,508
2025-07-05,1708.6,2163.75,7466.48,0.0,0.0,488
2024-10-07,423.52,500.0,2993.16,0.0,0.0,786
2023-10-10,736.41,1882.78,75749.34,5726.99,3.04,674
2022-02-06,4442.36,5642.91,559974.8,0.0,0.0,791
2022-07-24,3161.63,4091.23,443922.49,3047.59,0.74,572
2025-01-29,3308.49,4662.97,189298.31,0.0,0.0,451
2022-09-17,1298.27,4283.53,231801.73,7336.44,1.71,411
2023-07-24,4460.56,6530.73,246136.05,0.0,0.0,300
2023-08-24,4753.22,6973.33,341226.13,0.0,0.0,682
2022-04-09,3552.36,4946.1,219222.83,0.0,0.0,323
2024-03-11,2995.35,5874.65,608993.15,796.78,0.14,787
2024-07-21,571.37,1128.18,71121.15,0.0,0.0,776
2023-09-23,781.01,1368.37,142937.16,0.0,0.0,639
2023-04-01,1035.26,3159.77,353205.09,0.0,0.0,689
2022-02-20,876.85,2634.44,67083.28,0.0,0.0,564
2022-02-24,3807.43,5189.56,149162.2,0.0,0.0,431
2021-10-07,3550.48,4736.32,522129.53,147.83,0.03,312
2024-11-19,2687.01,4554.72,539475.79,0.0,0.0,769
2025-07-13,2455.52,3955.44,408283.91,3461.3,0.88,831
2023-11-04,2122.8,4470.78,227055.27,16213.18,3.63,842
2024-10-01,503.63,1348.41,103324.49,514.38,0.38,776
2022-09-18,3058.67,4015.76,450783.95,0.0,0.0,834
2022-09-16,2194.57,3348.78,282875.2,4556.04,1.36,639
2024-05-11,1317.87,3234.37,154588.25,0.0,0.0,429
2024-04-13,2538.97,3752.54,90104.15,6005.69,1.6,331
2025-03-20,1355.07,2059.75,201750.06,6832.38,3.32,355
2023-10-14,1870.08,3204.88,147850.96,0.0,0.0,312
2023-09-11,642.98,1208.42,13018.31,6270.76,5.19,429
2023-04-17,3777.24,5182.7,154123.49,0.0,0.0,451
2025-03-29,1629.63,4417.01,7313.92,0.0,0.0,675
2025-06-15,3031.39,3680.77,42507.68,0.0,0.0,453
2022-01-30,2019.68,4211.72,220635.01,4648.18,1.1,607
2025-05-22,3033.87,5649.33,41184.17,0.0,0.0,763
2024-04-22,1940.75,4594.17,164834.44,0.0,0.0,600
2024-12-13,6074.77,7242.45,460445.0,0.0,0.0,581
2024-12-20,4423.34,5505.36,366758.62,8994.86,1.63,621
2023-12-16,972.36,1625.07,36394.8,6245.29,3.84,370
2024-11-12,1865.59,3342.11,69721.0,0.0,0.0,592
2022-06-02,2327.41,4718.61,319438.88,0.0,0.0,771
2023-08-03,206.01,621.09,54319.84,37266.12,60.0,815
2023-08-18,3231.11,4386.64,486063.08,0.0,0.0,691
2025-05-09,305.79,500.0,12334.82,0.0,0.0,307
2022-06-04,2196.24,4712.43,318139.62,6404.72,1.36,428
2022-05-15,1387.56,2804.48,227508.98,4289.36,1.53,742
2021-11-24,3302.3,4338.0,37130.01,0.0,0.0,356
2022-05-30,2378.46,3549.8,367272.65,2755.1,0.78,841
2024-09-26,1412.25,2315.26,81058.47,0.0,0.0,341
2025-03-10,846.5,2099.73,139048.68,5062.07,2.41,549
2023-08-29,2582.91,3602.63,8838.96,4606.82,1.28,487
2024-09-06,1019.33,2098.18,52817.99,0.0,0.0,339
2024-09-13,2710.33,4637.04,129947.48,0.0,0.0,720
